term,definition
machine learning,"Automatic or semi-automatic updating of equations or parameters using algorithms; automated parameter (""curve"" or ""response surface"") fitting."
machine learning,A method to train a machine(any kind) in a human manner to achieve the goal of copying human behavior or even better than regular human being.
machine learning,Pattern recognition through a set of constantly modifying rules 
machine learning,Machine learning is a predictive computational method based on training a model (the ML algorithm) on a set of data followed by an optimization process whereby the model is tested with test data to increase accuracy of the prediction.
machine learning,Machine learning is the development of functions made on patterns found in data. 
machine learning,"Machine learning is the application of algorithms to sort and categorize data through supervised and unsupervised learning. It's a way to comb through large data sets very quickly, to reduce human labor.  "
machine learning,"A process where algorithms, paired with data, can be trained to perform a useful function on that data"
machine learning,Algorithms that can be trained
machine learning,Machine Learning describes algorithms that can find pattern in sets of data.
machine learning,Introducing an algorithm to a machine 
machine learning,It's a way of training computer systems to understand and recognize patterns in the real world. 
machine learning,machine process of aggregating information in order to generate/synthesize new insights on the information
machine learning,training a computer/machine/program to complete certain tasks automatically through an algorithm and having the computer learn to get better at recognizing such tasks and how to react/solve those situations
machine learning,A subset/practice of Artificial Intelligence which improves learning based on ingesting data. 
machine learning,Computers making decisions and learning through algorithms and trained on data/human inputs.
machine learning,"The ability for a computer to identify something based on patterns or groups it's been trained on, whether visual or language-based."
machine learning,Creating a model to teach an algorithm to recognize patterns
machine learning,"Machine Learning is a set of programmable computer processes used to recognize and classify patterns in various kinds of data - images, numbers, text, etc. "
machine learning,Machine training - Train a computer about object criteria
machine learning,"a process whereby a program can increase in accuracy on a given a task, when provided with a set of examples and performance measures. "
machine learning,it is training an algorithm on how to make predictions 
machine learning," let machine read a lot of data, and conclude a program by itself, then when encounter with new data, the machine can automatically deal with it. Some are supervised learning, some are unsupervised learning."
machine learning,Machine learning is the skill of machines to take decisions/make statements/see things which human taught them to do.
machine learning,Translating human language to machine language.
machine learning,"It creation of an artificial intelligent application, that reduces errors (most of the times) and makes tedious tasks easier for us. "
machine learning,The process of in which a machine is able to adapt and learn based on the data and algorithm they are programmed with
machine learning,Applying a model to a large amount of data to make a meaningful pattern and output from it
machine learning,using algorithms and datasets to teach a machine to recognize a set of patterns so that it can recognize similar patterns with other data
machine learning,using algorithms and datasets to teach a machine to recognize a set of patterns so that it can recognize similar patterns with other data
machine learning,it is an algorithm that could teach itself by the data given by people.
machine learning,Statistics + Computer
machine learning,"Using algorithm (filtering system), it distinguishes certain images and categorize them."
machine learning,"Machine learning is a new technology to reduce work amount for human in the real world. It could be trained by human and run under computer's logic. In the era of weak AI, it can finish a single task and also can do multi-task at the same time with the development of the machine learning."
machine learning,"Machine Learning is a method of computation that allows a process to make inferences from known historical data. Machine learning is unique in the way that the computer is trained on an ""input"" and a definition of ""success"" but it has flexibility in defining how it gets to a ""successful"" solution/output."
machine learning,its the training of artificial intelligence using masses of data and algorithms that process this data
machine learning,Using past data points and outcomes to predict future ones
machine learning,algorithms calculating things you are likely to be interested in based on your history
machine learning,Learning new information via algorithmic processing of data
machine learning,"Using digital, algorithmic means to explore, collect, or define data"
machine learning,Predictive models which help make intelligent/useful suggestions. 
machine learning,"Computers using algorithms to find commonalities in the data it's being trained on, and learn to identify these commonalities in new data that it encounters. "
machine learning,We human beings teaching the machine how to do something through statistic data experiments so that the machine has the skill to solve the problems automatically.
machine learning,"smart classification of data for analysis, organization and future predictions"
machine learning,"A type of prediction or analysis done by a machine based on a type of statistical modeling that has been generated (learned) through the (self-)analysis of previous existing set of data, mainly a big data source to increase predictability"
machine learning,"Using data to train models that ""human experience"" usually can do. "
machine learning,The use of algorithmic techniques for facilitating model selection in service of extracting target features from descriptive features in datasets.
machine learning,A set of routines which assess the data of a sample and then try to make predictions on the data of the general population
machine learning,"When the computer learns from itself and the code it is given, eliminating the need for hardcoding everything"
machine learning,"A programm taking a sum of (mostly human created/curated) inputs and finding it's own patterns between individual samples, ultimately coming up with something that might or might not make sense to us, but generally comes from a different ""thought-process"" than we humans have."
machine learning,"Giving an artificial object agency to adapt and evolve to make better decisions over time, in order to achieve efficiency, safety, and higher quality"
machine learning,the pursuit in which an inorganic entity can adapt itself to certain goals and improvise pathways by which to attain them.
machine learning,The mathematical processes that occur in software which allow computer programs to change behavior and outputs based on calibration of past experiences/inputs. 
machine learning,"The ubiquitous presence of technology that is ""smart"" and ""intuitive"" is something that starts defining ML for me.  I see it as an aid and a tool - much like how the invention of wheel changed life as our ancestors knew it; machine learning is changing the life as we know it. "
machine learning,"Machine learning is a data-base study.  By providing computers and AI with a large amount of data, people can use some special algorithms to achieve prediction."
artificial intelligence,A machine acting like a human
artificial intelligence,Computer that is programmed to self-teach 
artificial intelligence,"A computer that can make decisions based on prior knowledge, history, or patterns it's interacted with or been trained on."
artificial intelligence,Artificial intelligence is the ability a machine has to make assumptions and act on them.  
artificial intelligence,An automated generative system that is supported by machine learning as an underlying framework enabling advanced intelligent processes. 
artificial intelligence,Artificial intelligence is the recommendation/output of a complicated if/this/then/that statements paired with large data sets
artificial intelligence,"A process by which algorithms, when paired with data, can be used to perform a function that mimics human thought patterns. "
artificial intelligence,The way how computer thinks? Computer thinking route...?
artificial intelligence,AI is a system that tries to emulate how human thinks in order to make decisions. ?
artificial intelligence,"A machine that can ""think"". When a machine is trained enough that it think and chose."
artificial intelligence,a trained machine that is able to infer things on its own based on what it has learned previously
artificial intelligence,It is an intelligence that human made. It can be the brain of a trained machine.
artificial intelligence,"artificial intelligence is the intelligence of machines that have been trained by machine learning algorithms, producing outcomes / solutions that would mimic human intelligence. (best case scenario)"
artificial intelligence,Artificial intelligence is code designed to mimic and enhance human pattern recognition.
artificial intelligence,autonomous self reinforcing learning capable systems originated from human beings
artificial intelligence,Predictive use of higher order non-linear algorithms that can be updated in a complex way.
artificial intelligence,"Artificial intelligence is the umbrella term for all subgenres of computer learning, which includes machine learning."
artificial intelligence,Artificial intelligent is one destination of machine learning.
artificial intelligence,It's artificial intelligence.
artificial intelligence,"AI is a subset of machine learning, where the machine can actually teach itself to be better and better, more than what you create in the algorithm potentially."
artificial intelligence,"AI is a program that has access to machine learning algorithms, allowing it to mimic pattern recognition ability of human intelligence."
artificial intelligence,Man-made intelligence that builds up its logic throughout the series of data input given by people. It pretends it has a sort of intelligence but it can't teach itself without data input.
artificial intelligence,It tries to act like human brains thought process that is the main ultimate goal of artificial intelligence.
artificial intelligence,Information or the process of collecting information through an algorithm/machine learning (non-human intelligence) 
artificial intelligence,An automated generative system that is supported by machine learning as an underlying framework enabling advanced intelligent processes. 
artificial intelligence,analyzing whatever patterns and copying them.
artificial intelligence,"I think that true A.I. is conscious, unobserved, autonomous. When people use ""A.I."" they really mean ML. The phrase ""A.I."" is good for marketing. "
artificial intelligence,Artificial Intelligence is making an application that attempts to understand the problem and solve it for us. 
artificial intelligence,a trained machine that is able to infer things on its own based on what it has learned previously
artificial intelligence,"A (computer program), modeled after the human mind, able to make decisions, show logic, exhibit ""intelligent"" behavior. "
artificial intelligence,a trained machine that is able to infer things on its own based on what it has learned previously
artificial intelligence,One or group of machines can have intelligence(or better than) as human. 
artificial intelligence,a type of machine learning
artificial intelligence,"Based on machine learning, AI ask machines to take over some repetitive work( or may be creative work in the future). Also, AI learns lot about customer behavior currently "
